("even more that the refrigerator, but I don't know how far", "perhaps you shouldn't worry too much about anything", '45') 1
("eyes' retina", 'eye', '9') 1
('Twilight Sparkle? I cooooould put her between the ages of... 17-19. Because Twilight being out of school in a manners of sorts, kindergarten school at that. And being the baby sister of Shining Armor, who Shining may be around 30s, due to him being the captain of the Royal Guard. And to add more common sense to this whole statement, since she is getting private schooling from Celestia, I would assume she may be the youngest of the mane 6.', 'And to add more common sense to this whole statement, since she is getting private schooling from Celestia, I would assume she may be the youngest of the mane 6, placing her at the age of 16.', '311') 1
('it is', 'does', '4') 1
('is', 'has been', '7') 1
('', 'Edit #1', '7') 1
("I'm not quite sure why this works, but here's my guess. Think", 'The trick is to think', '47') 1
('Question', '[Question', '1') 1
('161', '', '3') 1
('memcpy(buffer + fLen + 1, [sNALU bytes], sLen);', 'memcpy(buffer + fLen + 1, [sNALU bytes], sLen);', '0') 1
(', if', '. If it is', '8') 1
("I've", 'I', '3') 1
('Enter inside', 'enter', '8') 1
('(tone sandhi)', '2', '13') 1
('make creating', '', '13') 1
('//stats.stackexchange.com/search?q=collider', '//stats.stackexchange.com/search?q=collider', '0') 1
('(4/3)x', '4x', '4') 1
('one single', 'any', '9') 1
('What', 'Negative citations', '16') 1
('to be created one begins to exist when one', 'suggests that there always was something. The question then becomes what has always existed? Scientists mostly agree that the universe', '104') 1
('//mysite.com/Forums/Physics', 'mysite.com/Forums/Physics', '2') 1
('c^2=1/(e*u)', '$c_0^2=\\frac1{\\varepsilon_0\\mu_0}$', '27') 1
('or', ',', '2') 2
('BullZip', 'Bullzip', '1') 1
('hunger', 'am looking', '10') 1
('0', '0.94', '3') 1
('is happening', 'happened', '6') 1
('a$', 'b$', '1') 1
('"cork-screw\' willow in', '', '22') 1
('show it has the right', 'consent', '17') 1
('how the', 'why algo', '7') 1
('n> eq 4', '$n \\geq 4$', '5') 1
('206 who', '', '7') 1
('ascwer for _How are you in building sand castels?"', 'answer to "', '42') 1
('Hot', 'supplying hot', '11') 1
("road trip - I'll update my question", 'separate site, which got migrated to Stack Apps later', '42') 1
('[1+]', '[4+]', '1') 1
('the most suitable key exchange in TLS', 'TLS_EDH or TLS_SRP', '35') 1
('2.10.01.05  if an opponent obstructs the ball;', '', '46') 1
('of,', 'up', '3') 1
(')[1..n]', 'map', '7') 1
('a', 'an N-ary', '7') 1
('\\usepackage', '\\usepackage[demo]', '6') 1
('the', 'to a', '3') 1
('over the barbies', 'enjoy Christian-themed toys', '21') 1
('flaws for personal gain', 'research', '19') 1
('facts of life, slowly, kind of forgetting they were children once', 'commitment and discipline required', '49') 1
('$$y[4]==$n&&print$k[$n]="$n', '$$_[4]==$n&&print"$n', '8') 1
('t', 'sys', '3') 4
('*[rec', '[rec', '1') 1
("(tutorials.renoise.com/wiki/VST/AU/LADSPA_Effects) it's", 'this tutorial', '50') 1
('A good one though', "It's been influential for me and I think it's in context here", '52') 1
('Reading it in stages', '', '20') 1
('//www.performancebike.com/bikes//Product_10052_10551_1034747_-1_', '//www.performancebike.com/bikes//Product_10052_10551_1034747_-1___', '2') 1
('dvd', 'DVD', '3') 2
('inform whom interested in this topic', 'digraphs with fix undirected minor exluded', '29') 1
('now', 'a total of', '9') 1
('to import', 'of importing', '5') 1
('java ints', 'Java,', '6') 1
('be awarded of', 'know', '12') 1
('they', 'and they', '4') 1
("I've tried rotatebox and turnbox", 'Got it working', '27') 1
('Eats', '', '4') 1
('Only', 'The', '4') 1
('better', 'if the spaceShipDirection is float angle', '37') 1
('escalator', 'flow rate, some standers need to get out of the way somehow, so we can consider the possibility that some standers are willing to become runners temporarily..', '149') 1
('SEM', 'sem', '3') 1
("Respect for the process. Hogwart's", 'Respect for the process.', '10') 1
('Asking', '', '6') 1
('can sufficient', 'are the', '12') 1
('(I', '', '2') 1
('-> {{0.1,', 'b]', '9') 1
('abs', 'max', '3') 1
(',', 'they were watching before logging in or creating an account.', '60') 1
('Github', 'GitHub', '1') 1
('Avoiding Like', 'Pattern matching with LIKE, SIMILAR TO or regular expressions', '55') 1
('77', '73', '1') 1
('would', 'prefer to', '9') 1
('doesnt', "Shouldn't", '6') 1
('yield a', 'the', '6') 1
('/>', '', '2') 2
('removing', 'canceling', '6') 1
('', 'But', '3') 1
('time', 'existentialists, Martin Heidegger investigated', '43') 2
('store', '', '5') 1
('a direct connection', 'connected directly', '14') 1
('Fiber', 'the fiber', '5') 1
('', 'But, if I convert (C=0, M=29, Y=82, K=0) to Pantone I get (241 C) in Illustrator and (7420 C) in Photoshop', '106') 1
('update your application registration', 'update your application registration', '0') 1
('Favorite', 'What are your favorite', '15') 1
('lets', "let's", '1') 1
('I number', 'Number', '3') 1
('implementing the', 'implemented a', '6') 1
('rules', 'version', '6') 1
('fairy', 'washing up', '8') 1
('secure; that', 'secure? That', '2') 1
('IS AN ENGINEERING PRODUCT!', 'systems and eBay or Amazon.', '26') 1
('for distinguishing', 'general, and distinguish', '14') 1
('holding current at each position according', 'currents to hold it depending', '26') 1
('progressbar', 'progress bar', '1') 1
('analysising', 'analyzing', '3') 1
('panels', 'Panels', '1') 3
('What things can I do to increase the life of my diesel engine when I make lots of shot trips in the car?', 'What things can I do to increase the life of my diesel engine when I make lots of shot trips in the car?', '0') 1
('Nodal Analysis', '', '14') 1
('Min[Flatten[data]]  max', 'pdata', '19') 1
('You', 'If', '3') 1
('Either', 'In MarioKart Wii, can the "View Replay" have different viewing angles each time, maybe either', '88') 1
('AUDIO INTERFACE THAN BUY', 'audio interface, be sure to buy', '28') 1
('ur ref', 'your refrigerator', '11') 1
('of', '(intuition)', '10') 1
('arr[0] into', '', '11') 1
('to', 'turn', '3') 1
('k3b with', '', '8') 1
('card', 'camera', '3') 1
('sys', 'local', '5') 1
('prefer', '', '6') 1
('$\\overrightarrow', '$\\overleftarrow', '4') 1
('Joel saying', '', '11') 1
('googleg', 'googled', '1') 1
('~', '@', '1') 2
('thought experiment', 'question', '14') 1
('deduce that', 'have', '10') 1
("'ST_Shift_Longitude's", "'ST_Shift_Longitude'", '1') 1
('\\hline and | in', '', '15') 1
('Yissachar', 'Yissaschar', '1') 1
('s([45', 'in[45', '2') 1
('Monsters Season 2, Episode 18 - The Offering', 'Monsters Season 2, Episode 18 - The Offering', '0') 1
('Their', 'Dust particles vary in', '20') 1
('you', '?', '3') 1
('straight forward', 'straightforward', '1') 1
('already in place. Something', 'not something', '17') 1
('//bugreports.qt.nokia.com/browse/QTCREATORBUG-1633', '//bugreports.qt-project.org/browse/QTCREATORBUG-1633', '10') 1
('Then', '..', '4') 1
('is legitimately used', 'has legitimate uses', '5') 1
('"It\'s', '"It\'s', '0') 1
("in the case of the control Ships.  Or since the Destiny gates don't have DHDs they may need to communicate with", 'all chevrons on', '99') 1
('gloried features with', 'glorified', '14') 1
('Klartext reden', 'flstern', '9') 1
('29mph', '29mpg', '1') 4
('is', 'Duplicity is', '10') 1
('unlikeliness of human potential flourishing I would', 'universe is defined to include this primal reality there may be scope for saying it created itself. However, to avoid an infinite regress you must', '116') 1
('however', '', '7') 1
('Additionally', 'Even more confusingly, the data reported do in fact behave as if the times are UTC. For example the reported azimuth of Pluto at Greenwich for the times above changes by 0.0028 for each of the intervals but the third, where it changes by 0.0069', '234') 1
('getValue', 'getNameValues', '5') 1
('LaTeX', 'LaTeX"', '1') 1
('50', '100', '2') 1
('v', 'v*1000', '5') 1
('qubit computing', 'the circuit model', '15') 3
('my text always', 'do fonts appear', '11') 1
('download the file, extract and place it in the same folder of Terraria.exe, then launch RomTerraria.exe', '', '103') 1
('^2dt\\le', '^2\\,\\mathrm dt\\le', '10') 1
('JAVA', 'JAVA', '0') 1
('over the internet', 'with', '15') 1
('effect', 'action', '6') 3
('mysqldump -h ip -uUSER -pPASS ebooklibrary > /fullpath.../_db_backups/openelibrary.sql', 'mysqldump -h IP -uUSER -pPASS ebooklibrary > /fullpath.../_db_backups/openelibrary.sql', '2') 1
('question on the', 'on a', '12') 1
('This means "Sum up everything in column A', "If you can't use a pivot table,", '35') 1
('//wiki.ubuntu.com/X/Troubleshooting/FglrxInteferesWithRadeonDriver', 'here', '62') 1
('"theGame" in', '', '12') 1
('spanned by', 'orthogonal to', '11') 1
('Actually', 'In fact', '7') 1
('[How To Price Software Without Rolling The Dice][3]', '', '51') 1
('database', 'databases', '1') 1
('Ade', 'Tschau', '6') 1
('x\\big', 'x\\bigl', '1') 1
('refernced', 'referenced', '1') 1
('good', 'awesome', '6') 1
('db_edr_s1', '', '9') 1
('Password reuse', 'humour', '12') 1
('$=tan', '$=\\tan', '1') 1
('.', ', or, alternatively, that, in general, such systems are not likely to provide any benefit', '89') 1
('has', 'does the', '7') 1
('ResultSet', '', '9') 1
('They', '?', '4') 1
('65', '45', '1') 1
('gobble up RAM. Others have heaps of concurrent users hitting the same web server', 'paint a Mona Lisa', '69') 1
('fluttershy', 'Fluttershy.', '2') 2
('etc', 'as well as "roman-', '17') 1
('are saccades', 'is the saccade-fixation system', '20') 1
('O(n^(n+1)', '', '9') 1
('temperature fluctuations, produce', 'produce', '26') 1
('-pPASS ebooklibrary > /fullpath.../_db_backups/openelibrary.sql', '', '63') 1
('top five', '', '8') 1
('data if', 'HSQLDB uses the various files', '25') 1
('INTL', 'international', '13') 1
('ride the plain', 'accelerate on a flat', '15') 1
('sensor is flexed', 'skin area in contact with the device, and the lower the resistance', '56') 1
('-', ', but', '5') 1
('Examples', '', '8') 1
('this symbol', '$\\tilde\\Omega(\\lambda^4)$', '22') 1
('degrades', 'degrade', '1') 1
('hits 3', 'passes 1', '6') 1
('also', 'and multiple regression', '19') 1
('us government', 'US Government', '3') 1
('login', 'log in', '1') 1
('Once', '.. for the remainder of the web session.', '38') 1
(')', '0', '1') 1
('Hence', 'Verb stems seem to be able to be used as a noun. Particularly', '58') 1
('but', 'this time', '8') 1
('b]', 'b]', '0') 4
('flag', 'option', '6') 1
('gamma to', '', '8') 2
('Manipulate[Show[plots[[n]]]', 'Manipulate[plots[[n]]', '6') 1
('magnetrons', 'Magnetrons', '1') 1
('by whatever name called', 'pension payments', '20') 1
("can'y establish", "it couldn't estabilish a", '11') 1
('74', '', '2') 1
("didn't", "wasn't", '3') 1
('time of creation', 'existentialists', '15') 1
('on', ', on', '2') 1
('recommend that they get the best bike they can reasonably afford, based on the type of riding that they prefer to do. I', 'I', '118') 1
('end', "age of five was measured as reading at a 5th grade level so we've had to make some similar decisions", '97') 1
('//www.amazon.com/gp/product/1605501220?ie=UTF8&ref_=sr_1_1&s=books&qid=1289264157&sr=8-1', 'The EVERYTHING Homebrewing Book', '81') 1
('), then let the GameStateSystem determine the state of the game', 'That way', '58') 1
('#some', '# some', '1') 1
('@Onik', 'Onik', '1') 1
('comms', 'communication', '9') 1
('CodeBase', 'CodeBase', '0') 1
('tdb   sudo rm -f /var/cache/samba/printing/*   sudo restart smbd   sudo restart mnbd', '', '84') 1
('can see the address part of', ', so chances are if', '15') 1
('in', 'from', '4') 1
('is', 'belongs, and no philosophical discussions about what category nutmeg belongs in', '77') 1
('prior to making a connection.  And intercepting that communication could be how the Control Ships detect stargate activity', 'lock', '119') 1
('this is a scenario of the use case', '', '34') 1
('visit the GL&U chat', '', '19') 1
('Time Manager', 'Time Manager', '0') 2
('I thought was', 'should be built in to', '17') 1
("userA@gmail.com's", '', '17') 1
('start-my-daemon.sh that', '', '23') 1
('-> sudo', '', '7') 2
('me@gmail', 'me@Gmail', '1') 2
('whats', "What's", '2') 1
('This is', 'However, this paper', '15') 1
('3) Transfer everything from the 3 to the 3GS?', '', '45') 1
('to the brain then', 'are sent from', '14') 1
('Is there any evidence for', 'Did', '23') 1
('.  They stay exactly where they are and move', ', but', '42') 1
('can not', 'cannot', '1') 1
('"Suppose that a judge or magistrate is faced with rioters demanding that a culprit be found for a certain crime and threatening otherwise to take their own bloody revenge on a particular section of the community. The real culprit being unknown, the judge sees himself as able to prevent the bloodshed only by framing some innocent person and having him executed. Beside this example is placed another in which a pilot whose aeroplane is about to crash is deciding whether to steer from a more to a less inhabited area. To make the parallel as close as possible it may rather be supposed that he is the driver of a runaway tram which he can only steer from one narrow track on to another; five men are working on one track and one man on the other; anyone on the track he enters is bound to be killed. In the case of the riots the mob have five hostages, so that in both the exchange is supposed to be one man\'s life for the lives of five."', '', '939') 1
('Pretty simple question.  What', 'What', '25') 1
(', we', '. We', '2') 2
('triple', 'increase', '6') 1
('$><<IO.readlines', '$><<open', '10') 1
('Spread trading (market', 'Market', '17') 1
('entity', 'entities', '3') 1
('isst', 'isst', '0') 1
('525', '5', '2') 1
('u defined', '', '9') 1
('$$\\sum_', '$$ S_n = \\sum_', '7') 1
('again here', 'in the', '6') 1
('Foot give her opinions about', "Foot's considerations on the", '19') 1
('"|"c)', '"male|female|he|she|him|her|guy|girl|boy|lady|man|woman"', '54') 1
('emerald the', 'Emerald Version, there are some', '21') 1
('your', 'a', '4') 2
('object which you explicitly allow', 'function to', '26') 1
('and other', 'ii) dependent variable', '18') 1
('0=()|', '0=|', '2') 1
('driving', 'drive', '3') 2
('Is it the Graphikcard', 'Samsung monitor rotation no longer working since update to Mountain Lion', '60') 1
('Beedles', "Beedle's", '1') 2
('. Seems', '? It seems', '5') 1
('Direct X', 'DirectX', '1') 1
('comparison', "point of view, they both have similar sensors, so it's really mostly between better+bigger vs. small+plastic. Comparison", '110') 1
('families', 'family members', '7') 1
(', my', '. My', '2') 1
('Marco Polo wrote in his diaries of a group of Christians who', 'Marco Polo wrote in his diaries of a group of Christians', '4') 1
('The', 'Unfortunately, the', '16') 1
('0', '4', '1') 1
('Single', 'First', '5') 1
('wave table', 'Wave Table', '2') 1
('ngatifs"', 'ngatifs', '1') 1
('has', 'iTunes', '5') 1
('const', 'Sudoku', '6') 1
('you make hash XXXXXXXXXXXXXX look like xxxxxxhxxxYYYYxx where x is some random char/digit.', "can generate these 'vanity' addresses?", '77') 1
('(drinking', ', such as drinking', '10') 1
('[2]', '[3]', '1') 1
('improving my programming', 'better productivity so that I can for example work on hobby projects and improve their', '71') 1
('exists', 'has a transcription', '17') 1
('miss configuration', 'misconfiguration', '2') 1
('', 'Teach as you live your life.', '28') 1
('same that go', '$+$ stack starts with value $k$, then it ends with value $(k \\mod 13) + 1$ with', '70') 1
("' and '\\colon'", '', '14') 1
('flickr - thousands of groups discussing any topic or piece of equipment you want', '', '80') 1
('Oh, and', '', '7') 1
("(pretty much 99% of a baby's daily activities)", 'away', '43') 1
('Alot', 'A lot', '1') 1
('newpositionb', 'newPos', '7') 1
('gate detects a wormhole opening', 'responding to an attempted connection', '27') 1
('comms resp.', 'communication', '9') 1
('[2\\div]', '[12\\div]', '1') 1
('same page that can be reached by various URLs', '', '45') 1
('not matter;', "usually use title; younger ones won't.", '33') 1
('disks firmware', 'disk firmwares', '2') 1
('[iGoogle Tab Remover][5]', '', '24') 1
('it', 'that', '3') 3
('There is no discernible truth to the claim', 'of ingesting mucus', '34') 1
('e=m*c**2', '$E=mc^2$', '6') 1
('t2.txt', 't2.txt', '0') 1
('Everyone else is linking back to their article as fact; I havent been able to find anything to support', 'in the press release) doesnt list any of the major actors', '76') 1
('He is the person who won the competition That is the person whom I went on holiday with', '', '87') 1
(', if', '...perhaps', '10') 1
('Failure on Belief', 'Failure on Belief', '0') 1
('poor insulation in', "To some extent (because you can't have 100% insulation), heat is always going to escape eventually, but if there's not enough insulation and the heat is escaping faster than it's being added, you end up with a cold room.", '203') 1
('pony', ',', '4') 1
('Gnome', 'GNOME', '4') 1
('What', 'How to find out what', '17') 1
('VISAs required for layovers in between US -> China?', 'Singapore transit visa', '39') 1
('Hamsa from', '', '10') 1
('virtualenvr', 'virtualenv', '1') 2
('folder', 'spfolder', '2') 2
('\\matr{...}', '\\matr{...}', '0') 1
('a', '\\alpha', '5') 1
('if', '"if', '1') 1
('how is', '', '6') 1
('"The application Compiz has stopped unexpectedly"', '', '49') 1
('"installiong', '"installing', '1') 1
('k(i)', 'a+=i,', '4') 1
('This code deletes the attachment only but i also want to delete the ListItem', 'Attachment dont get deleted why?', '54') 1
('that', 'most any', '6') 1
('Technically, if the logo was used in a way so that it didn\'t look like a part of your application, and didn\'t cause confusion, there might be a "fair use" claim. For example, if you make a help page available, and your help page includes a screen shot of Stack Overflow that is obviously a screen shot of Stack Overflow, nobody is likely to be confused that you', 'Icons', '357') 1
('"\'Twas"', 'Twas', '3') 1
('14', '3', '2') 1
('Amazon review says', '', '18') 1
('an student', 'an student', '0') 1
('ways it could occur, or something along those lines', 'material', '45') 1
('as unfortunately', 'where all activities are at the target host starting from day one and only the access barrier is lowered over time. However, if', '116') 1
('0', '$0$', '2') 3
('a great option', 'the appropriate location', '14') 1
("d'", 'd\\', '1') 1
('do', 'can', '3') 1
('\\loop\\ifnum\\ppnum>1000', '\\loop\\ifnum\\ppnum>999', '4') 1
('the', 'that would', '8') 1
(',', '($$$) or', '8') 1
('HEAD', '0a5c60f71310757a4c1de6547cf113c7d6834e85', '40') 1
('fluttershy', 'Fluttershy', '1') 1
('elites/champions', 'elites/champions', '0') 1
('PGP scheme', 'recipient as the original message was by the sender', '45') 1
('any', '', '3') 1
('timeframe', 'Specific Timeframe', '10') 1
('-', 'how the navy does it', '20') 1
('molecular circadian clock can', '', '29') 1
('[the later do', '[one word longer and', '13') 1
('get out of', 'stay in', '8') 1
('0 X;', 'Zro X', '4') 1
("Destiny gates to know for sure.  The Goa'uld couldn't detect gate openings beyond", 'Kawoosh comes in, when', '67') 1
('phone', 'phones', '1') 1
('wp_commentmeta', '=>', '14') 1
('not a', 'no', '3') 1
('there', 'displayed', '8') 1
('over', 'on', '3') 1
('an', 'setup a', '7') 1
('doesnt', "don't", '3') 1
('4', '2', '1') 1
('answers', 'ones', '4') 1
('tolkien', 'Tolkien', '1') 1
('Your', 'The', '4') 1
(',', 'also', '4') 1
('a P', '$\\mathsf{NP}$', '11') 1
('(or whatever the exact text is) just', 'just', '32') 1
(')', 'This will mean that things break unexpectedly when used inside other conditionals.', '82') 1
("'dienasgramatas'", '', '16') 1
('If you limit', 'Let', '11') 1
('. EIlat', 'Eilat', '3') 1
('eigenvector  method', 'and the eigenvector method', '9') 1
('for@$_;[@$_', '$s=0; $s+=$_ for @$_; [@$_', '15') 1
('Settings -> Language & Input -> Spelling correction', 'Settings -> Language & Input -> Spelling correction', '0') 1
('I', '. But in general refilling is 2x cheaper (25 vs 55 EUR). I', '57') 1
